target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,pic,correct_key,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
1.87,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,g,0,2.013400002,0,2,2,0,1,,,,,
1.99,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Slow,f,0,2.157799999,0,3,3,2,1,,,,,
0.01,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,h,1,2.005199999,1,0,4,2,1,,,,,
1.93,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,g,0,1.8845,1,1,5,3,1,,,,,
0.81,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,j,1,1.920599998,1,2,6,3,1,,,,,
0.08,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,g,1,1.990300001,1,3,7,1,1,,,,,
1.59,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Slow,f,1,2.243,2,0,8,0,1,,,,,
1.48,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Slow,g,0,2.2564,2,1,9,2,1,,,,,
1.9,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Slow,h,0,2.382199999,2,2,10,1,1,,,,,
1.35,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,g,1,1.9621,2,3,11,1,1,,,,,
1.03,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,h,1,1.9864,3,0,12,2,1,,,,,
0.78,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,h,1,2.074,3,1,13,2,1,,,,,
1.7,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Slow,j,1,2.316800001,3,2,14,3,1,,,,,
1.46,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Slow,g,1,2.174,3,3,15,1,1,,,,,
1.92,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,g,0,2.0244,4,0,16,3,1,,,,,
1.55,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,j,0,1.982199999,4,1,17,0,1,,,,,
0.57,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,j,1,1.963200001,4,2,18,3,1,,,,,
0.56,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Slow,g,1,2.111,4,3,19,1,1,,,,,
0.99,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,f,1,1.984799999,5,0,20,0,1,,,,,
1.7,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,f,0,1.8166,5,1,21,1,1,,,,,
1.73,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,g,0,2.009299999,5,2,22,3,1,,,,,
1.57,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,f,0,1.762400002,5,3,23,2,1,,,,,
0.24,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,j,1,2.0391,6,0,24,3,1,,,,,
1.71,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,h,1,1.9989,6,1,25,2,1,,,,,
0.4,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,g,1,2.0275,6,2,26,1,1,,,,,
0.76,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,h,1,1.949099998,6,3,27,2,1,,,,,
0.85,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,h,0,1.7419,7,0,28,1,1,,,,,
0.01,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,f,1,1.831599998,7,1,29,0,1,,,,,
0.97,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Slow,g,1,2.182700001,7,2,30,1,1,,,,,
0.02,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,h,1,1.806,7,3,31,2,1,,,,,
0.08,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,f,1,1.797199999,8,0,32,0,1,,,,,
1.39,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,f,0,1.8355,8,1,33,3,1,,,,,
1.69,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,h,0,1.993699999,8,2,34,3,1,,,,,
0.78,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,f,1,2.065700001,8,3,35,0,1,,,,,
1.61,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Fast,f,1,1.8945,9,0,36,0,1,,,,,
1.95,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,f,1,2.0586,9,1,37,0,1,,,,,
1.44,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Slow,f,1,2.271200001,9,2,38,0,1,,,,,
1.69,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,8,Ontime,g,1,2.0041,9,3,39,1,1,,,,,
,,,,,,,,,,,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,,,,,,,,,,,7,0,7,0,1
1.79,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,g,0,2.015300001,0,0,0,2,1,,,,,
0.35,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,f,1,2.047099998,0,1,1,0,1,,,,,
1.15,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,f,0,1.998900002,0,2,2,3,1,,,,,
0.41,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,j,1,1.924700001,0,3,3,3,1,,,,,
1.36,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,f,0,2.015700001,1,0,4,3,1,,,,,
1.32,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,f,1,2.0481,1,1,5,0,1,,,,,
0.39,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,g,1,2.0751,1,2,6,1,1,,,,,
0.54,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,h,1,2.0655,1,3,7,2,1,,,,,
1.85,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Fast,h,0,1.8615,2,0,8,3,1,,,,,
1.8,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,h,0,2.099900002,2,1,9,1,1,,,,,
1.11,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,g,1,2.076,2,2,10,1,1,,,,,
1.82,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,g,0,1.995,2,3,11,3,1,,,,,
1.01,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,h,1,1.969,3,0,12,2,1,,,,,
1.39,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Fast,h,0,1.882300001,3,1,13,1,1,,,,,
0.4,,,,,,,,,h.PNG,h,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,h,1,2.095299999,3,2,14,2,1,,,,,
0.9,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,h,0,2.0994,3,3,15,0,1,,,,,
1.62,,,,,,,,,j.PNG,j,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,h,0,1.9325,4,0,16,3,1,,,,,
1.96,,,,,,,,,f.PNG,f,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,h,0,2.015699999,4,1,17,0,1,,,,,
1.6,,,,,,,,,g.PNG,g,5b98d9362cca9c0001de161f,2021-10-19_12h47.31.130,forced_choiceRT,2021.1.2,Win32,59.89099838,,,,,,,,9,Ontime,g,1,2.021,4,2,18,1,1,,,,,
