target_onset,trial_resp_sp.keys,trial_resp_sp.corr,trial_resp_sp.rt,trials_train_loop.thisRepN,trials_train_loop.thisTrialN,trials_train_loop.thisN,trials_train_loop.thisIndex,trials_train_loop.ran,correct_key,color,participant,date,expName,psychopyVersion,OS,frameRate,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,block_id,ontime,feedback_cond,forcedRT_resp.keys,forcedRT_resp.corr,forcedRT_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
0,d,1,0.6923,9,0,36,0,1,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.7219,9,1,37,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.7498,9,2,38,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.5505,9,3,39,3,1,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.5706,10,0,40,3,1,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,d,1,0.7692,10,1,41,0,1,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.657,10,2,42,3,1,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.6689,10,3,43,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.6056,11,0,44,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.5588,11,1,45,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.6951,11,2,46,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,d,1,0.6906,11,3,47,0,1,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.6555,12,0,48,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.9047,12,1,49,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.7948,12,2,50,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.6251,12,3,51,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.5993,13,0,52,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,d,1,0.6623,13,1,53,0,1,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.6705,13,2,54,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,k,1,0.5263,13,3,55,3,1,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.6889,14,0,56,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,j,1,0.5089,14,1,57,2,1,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,f,1,0.5613,14,2,58,1,1,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
0,d,1,0.6631,14,3,59,0,1,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,d,4.0856,0,0,0,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,f,0.9065,1,0,1,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,j,0.6691,2,0,2,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,j,1.2842,3,0,3,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,k,1.6128,4,0,4,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,d,1.572,5,0,5,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,f,1.6806,6,0,6,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,j,2.7358,7,0,7,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,k,1.7847,8,0,8,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,f,1.8281,9,0,9,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,d,1.869,10,0,10,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,j,1.9703,11,0,11,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,j,1.9639,12,0,12,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,j,1.8355,13,0,13,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,k,1.6699,14,0,14,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,j,2.0602,15,0,15,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,k,1.9755,16,0,16,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,j,2.0834,17,0,17,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,d,2.0676,18,0,18,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,f,2.1405,19,0,19,0,1,,,,,,,,,,,,,,,,
1.5,,,,,,,,,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Ontime,long,f,0,1.9703,0,0,0,0,1,,,,,
1.62,,,,,,,,,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Slow,long,f,1,2.1338,0,1,1,1,1,,,,,
1.88,,,,,,,,,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Slow,long,j,1,2.2434,0,2,2,2,1,,,,,
1.46,,,,,,,,,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Ontime,long,k,1,1.9765,0,3,3,3,1,,,,,
1.07,,,,,,,,,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Fast,long,j,1,1.8735,1,0,4,2,1,,,,,
0.29,,,,,,,,,k,purple,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Slow,long,k,1,2.1009,1,1,5,3,1,,,,,
1.15,,,,,,,,,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Fast,long,d,0,1.8666,1,2,6,1,1,,,,,
1.48,,,,,,,,,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Ontime,long,j,1,2.0035,1,3,7,2,1,,,,,
0.48,,,,,,,,,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Fast,long,d,1,1.8986,2,0,8,0,1,,,,,
1.9,,,,,,,,,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Slow,long,f,0,2.2888,2,1,9,0,1,,,,,
1.51,,,,,,,,,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Fast,long,d,1,1.8751,2,2,10,0,1,,,,,
1.51,,,,,,,,,j,red,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Ontime,long,f,0,2.0328,2,3,11,2,1,,,,,
1.67,,,,,,,,,f,blue,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Slow,long,j,0,2.1521,3,0,12,1,1,,,,,
0.52,,,,,,,,,d,orange,57bdccc4761a3a0001a7d098,2021-09-28_12h51.49.044,forced_choiceRT_color,2021.2.3,Win32,59.93766483,,,,,,,,1,Ontime,long,d,1,1.9957,3,1,13,0,1,,,,,
